date,start_hour
20160104,1
20160105,1
20160106,1
20160107,1
20160108,1
20160111,1
20160112,1
20160113,1
20160114,1
20160115,1
20160118,1
20160119,1
20160120,1
20160121,1
20160122,1
20160125,1
20160126,1
20160127,1
20160128,1
20160129,1
20160201,1
20160202,1
20160203,1
20160204,1
20160205,1
20160208,1
20160209,1
20160210,1
20160211,1
20160212,1
20160215,1
20160216,1
20160217,1
20160218,1
20160219,1
20160222,1
20160223,1
20160224,1
20160225,1
20160226,1
20160229,1
20160301,1
20160302,1
20160303,1
20160304,1
20160307,1
20160308,1
20160309,1
20160310,1
20160311,1
20160314,0
20160315,0
20160316,0
20160317,0
20160318,0
20160321,0
20160322,0
20160323,0
20160324,0
20160329,0
20160330,0
20160331,0
20160401,0
20160404,0
20160405,0
20160406,0
20160407,0
20160408,0
20160411,0
20160412,0
20160413,0
20160414,0
20160415,0
20160418,0
20160419,0
20160420,0
20160421,0
20160422,0
20160425,0
20160426,0
20160427,0
20160428,0
20160429,0
20160503,0
20160504,0
20160505,0
20160506,0
20160509,0
20160510,0
20160511,0
20160512,0
20160513,0
20160516,0
20160517,0
20160518,0
20160519,0
20160520,0
20160523,0
20160524,0
20160525,0
20160526,0
20160527,0
20160531,0
20160601,0
20160602,0
20160603,0
20160606,0
20160607,0
20160608,0
20160609,0
20160610,0
20160613,0
20160614,0
20160615,0
20160616,0
20160617,0
20160620,0
20160621,0
20160622,0
20160623,0
20160624,0
20160627,0
20160628,0
20160629,0
20160630,0
20160701,0
20160704,0
20160705,0
20160706,0
20160707,0
20160708,0
20160711,0
20160712,0
20160713,0
20160714,0
20160715,0
20160718,0
20160719,0
20160720,0
20160721,0
20160722,3
20160725,0
20160726,0
20160727,0
20160728,0
20160729,0
20160801,0
20160802,0
20160803,0
20160804,0
20160805,0
20160808,0
20160809,0
20160810,0
20160811,0
20160812,0
20160815,0
20160816,0
20160817,0
20160818,0
20160819,0
20160822,0
20160823,0
20160824,0
20160825,0
20160826,0
20160830,0
20160831,0
20160901,0
20160902,0
20160905,0
20160906,0
20160907,0
20160908,0
20160909,0
20160912,0
20160913,0
20160914,0
20160915,0
20160916,0
20160919,0
20160920,0
20160921,0
20160922,0
20160923,0
20160926,0
20160927,0
20160928,0
20160929,0
20160930,0
20161003,0
20161004,0
20161005,0
20161006,0
20161007,0
20161010,0
20161011,0
20161012,0
20161013,0
20161014,0
20161017,0
20161018,0
20161019,0
20161020,0
20161021,0
20161024,0
20161025,0
20161026,0
20161027,0
20161028,0
20161031,0
20161101,0
20161102,0
20161103,0
20161104,0
20161107,0
20161108,1
20161109,1
20161110,1
20161111,1
20161114,1
20161115,1
20161116,1
20161117,1
20161118,1
20161121,1
20161122,1
20161123,1
20161124,1
20161125,1
20161128,1
20161129,1
20161130,1
20161201,1
20161202,1
20161205,1
20161206,1
20161207,1
20161208,1
20161209,1
20161212,1
20161213,1
20161214,1
20161215,1
20161216,1
20161219,1
20161220,1
20161221,1
20161222,1
20161223,1
20161228,1
20161229,1
20161230,1
20170103,1
20170104,1
20170105,1
20170106,1
20170109,1
20170110,1
20170111,1
20170112,6
20170113,1
20170116,1
20170117,1
20170118,1
20170119,1
20170120,1
20170123,1
20170124,1
20170125,1
20170126,1
20170127,1
20170130,1
20170131,1
20170201,1
20170202,1
20170203,1
20170206,1
20170207,1
20170208,1
20170209,1
20170210,1
20170213,1
20170214,1
20170215,1
20170216,1
20170217,1
20170220,1
20170221,1
20170222,1
20170223,1
20170224,1
