date,start_hour
20170227,1
20170228,1
20170301,1
20170302,1
20170303,1
20170306,1
20170307,1
20170308,1
20170309,1
20170310,1
20170313,0
20170314,0
20170315,0
20170316,0
20170317,0
20170320,0
20170321,0
20170322,0
20170323,0
20170324,0
20170327,0
20170328,0
20170329,0
20170330,0
20170331,0
20170403,0
20170404,0
20170405,0
20170406,0
20170407,0
20170410,0
20170411,0
20170412,0
20170413,0
20170418,0
20170419,0
20170420,0
20170421,0
20170424,0
20170425,0
20170426,0
20170427,0
20170428,0
20170502,0
20170503,0
20170504,0
20170505,0
20170508,0
20170509,0
20170510,0
20170511,0
20170512,0
20170515,0
20170516,0
20170517,0
20170518,0
20170519,0
20170522,0
20170523,0
20170524,0
20170525,0
20170526,0
20170530,0
20170531,0
20170601,0
20170602,0
20170605,0
20170606,0
20170607,0
20170608,0
20170609,0
20170612,0
20170613,0
20170614,0
20170615,0
20170616,0
20170619,0
20170620,0
20170621,0
20170622,0
20170623,0
20170626,0
20170627,0
20170628,0
20170629,0
20170630,0
20170703,0
20170704,0
20170705,0
20170706,0
20170707,0
20170710,0
20170711,0
20170712,0
20170713,0
20170714,0
20170717,0
20170718,0
20170719,0
20170720,0
20170721,0
20170724,0
20170725,0
20170726,0
20170727,0
20170728,0
20170731,0
20170801,0
20170802,0
20170803,0
20170804,0
20170807,0
20170808,0
20170809,0
20170810,0
20170811,0
20170814,0
20170815,0
20170816,0
20170817,0
20170818,0
20170821,0
20170822,0
20170823,0
20170824,0
20170825,0
20170829,0
20170830,0
20170831,0
20170901,0
20170904,0
20170905,0
20170906,0
20170907,0
20170908,0
20170911,0
20170912,0
20170913,0
20170914,0
20170915,0
20170918,0
20170919,0
20170920,0
20170921,0
20170922,0
20170925,0
20170926,0
20170927,0
20170928,0
20170929,0
20171002,0
20171003,0
20171004,0
20171005,0
20171006,0
20171009,0
20171010,0
20171011,0
20171012,0
20171013,0
20171016,0
20171017,0
20171018,0
20171019,0
20171020,0
20171023,0
20171024,0
20171025,0
20171026,5
20171027,0
20171030,5
20171031,0
20171101,0
20171102,0
20171103,5
20171106,6
20171107,6
20171108,1
20171109,6
20171110,1
20171113,6
20171114,6
20171115,1
20171116,6
20171117,1
20171120,6
20171121,6
20171122,1
20171123,6
20171124,1
20171127,6
20171128,6
20171129,1
20171130,6
20171201,1
20171204,6
20171205,6
20171206,1
20171207,6
20171208,1
20171211,6
20171212,6
20171213,1
20171214,6
20171215,1
20171218,6
20171219,6
20171220,1
20171221,6
20171222,1
20171227,1
20171228,6
20171229,1
20180102,1
20180103,6
20180104,1
20180105,6
20180108,6
20180109,6
20180110,1
20180111,6
20180112,1
20180115,6
20180116,6
20180117,1
20180118,6
20180119,1
20180122,6
20180123,6
20180124,1
20180125,6
20180126,1
20180129,6
20180130,6
20180131,1
20180201,6
20180202,1
20180205,6
20180206,6
20180207,1
20180208,6
20180209,1
20180212,6
20180213,6
20180214,1
20180215,6
20180216,1
20180219,6
20180220,6
20180221,1
20180222,6
20180223,1
20180226,6
20180227,6
20180228,1
20180301,6
20180302,1
20180305,6
20180306,6
20180307,1
20180308,6
20180309,1
20180312,5
20180313,5
20180314,0
20180315,5
20180316,0
20180319,5
20180320,5
20180321,0
20180322,5
20180323,0
20180326,5
20180327,5
20180328,0
20180329,5
20180403,5
20180404,0
20180405,5
20180406,0
20180409,5
20180410,5
20180411,0
20180412,5
20180413,0
20180416,5
20180417,5
20180418,0
20180419,5
20180420,0
20180423,5
20180424,5
20180425,0
20180426,5
20180427,0
20180430,5
20180501,5
20180502,0
20180503,5
20180504,0
20180508,5
20180509,0
20180510,5
20180511,0
20180514,5
20180515,5
20180516,0
20180517,5
20180518,0
20180521,5
20180522,5
20180523,0
20180524,5
20180525,0
20180529,5
20180530,0
20180531,5
20180601,0
20180604,5
20180605,5
20180606,0
20180607,5
20180608,0
20180611,5
20180612,5
20180613,0
20180614,5
20180615,0
20180618,5
20180619,5
20180620,0
20180621,5
20180622,0
20180625,5
20180626,5
20180627,0
20180628,5
20180629,0
20180702,5
20180703,5
20180704,0
20180705,0
20180706,5
20180709,5
20180710,5
20180711,0
20180712,5
20180713,0
20180716,5
20180717,5
20180718,0
20180719,5
20180720,0
20180723,5
20180724,5
20180725,0
20180726,5
20180727,0
20180730,5
20180731,5
20180801,0
20180802,5
20180803,0
20180806,5
20180807,5
20180808,0
20180809,5
20180810,0
20180813,5
20180814,5
20180815,0
20180816,5
20180817,0
20180820,0
20180821,0
20180822,0
20180823,0
20180824,0
20180828,0
20180829,0
20180830,0
20180831,0
20180903,0
20180904,0
20180905,0
20180906,0
20180907,0
20180910,0
20180911,0
20180912,0
20180913,0
20180914,0
20180917,0
20180918,0
20180919,0
20180920,0
20180921,0
20180924,0
20180925,0
20180926,0
20180927,0
20180928,0
20181001,0
20181002,0
20181003,0
20181004,0
20181005,0
20181008,0
20181009,0
20181010,0
20181011,0
20181012,0
20181015,0
20181016,0
20181017,0
20181018,0
20181019,0
20181022,0
20181023,0
20181024,0
20181025,0
20181026,0
20181029,0
20181030,0
20181031,0
20181101,0
20181102,0
20181105,0
20181106,1
20181107,1
20181108,1
20181109,1
20181112,1
20181113,1
20181114,1
20181115,1
20181116,1
20181119,1
20181120,1
20181121,1
20181122,1
20181123,1
20181126,1
20181127,1
20181128,1
20181129,1
20181130,1
20181203,1
20181204,1
20181205,1
20181206,1
20181207,1
